name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Anchois commun,,Engraulis encrasicolus,,Engraulidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Engraulis_encrasicolus.jpg/120px-Engraulis_encrasicolus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Engraulis_encrasicolus.jpg/120px-Engraulis_encrasicolus.jpg,"L'anchois commun (Engraulis encrasicolus) est une espèce de poissons marins appartenant à la famille des Engraulidae. Cet anchois est appelé aussi anchois européen, anchois de l'Afrique australe, anchois italien, etc. et souvent « anchois » tout court par simplification.",,2414031
Grenouille de mer,Lesser forkbeard,Raniceps raninus,,Gadidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Grenouille de mer, Trident",,5214962
Merlan,English whiting,Merlangius merlangus,,Gadidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Wijting002.jpg/120px-Wijting002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Wijting002.jpg/120px-Wijting002.jpg,Merlangius merlangus,,2415788
Morue,Arctic Cod,Gadus morhua,,Gadidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Gadus_morhua.jpg/120px-Gadus_morhua.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Gadus_morhua.jpg/120px-Gadus_morhua.jpg,"Gadus morhua · Cabillaud, Morue commune, morue franche",,8084280
Motelle à cinq barbillons,Five-bear Cockling,Ciliata mustela,,Gadidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Ciliata mustela, communément appelé Motelle à cinq barbillons, est une espèce de poissons marins de la famille des Gadidae.",,2415526
Motelle à trois barbillons,,Gaidropsarus vulgaris,,Gadidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Gaidropsarus_vulgaris_Gervais.jpg/120px-Gaidropsarus_vulgaris_Gervais.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Gaidropsarus_vulgaris_Gervais.jpg/120px-Gaidropsarus_vulgaris_Gervais.jpg,"Gaidropsarus vulgaris, communément appelé Motelle à trois barbillons, est une espèce de poissons marins de la famille des Lotidae. Ce poisson est également appelé loche (comme beaucoup d'autres espèces).",,2415581
Lançon,Corbin's sand eel,Hyperoplus immaculatus,,Ammodytidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Le lançon immaculé ou lançon jolivet (Hyperoplus immaculatus), est une espèce de poissons marins appartenant à la famille des Ammodytidae.",,2390012
Lançon commun,Great sand eel,Hyperoplus lanceolatus,,Ammodytidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Hyperoplus lanceolatus, communément appelé Lançon commun, est une espèce de poissons marins de la famille des Ammodytidae.",,2390014
Lançon équille,Lesser sandeel,Ammodytes tobianus,,Ammodytidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Tobiasz.JPG/120px-Tobiasz.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Tobiasz.JPG/120px-Tobiasz.JPG,"Le lançon équille, Ammodytes tobianus, est une espèce de poissons marins appartenant à la famille des Ammodytidae.",,2389991
Mordocet,Blenny,Lipophrys pholis,,Blenniidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Ranhosa.JPG/120px-Ranhosa.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Ranhosa.JPG/120px-Ranhosa.JPG,"La Blennie mordocet ou Mordocet (Lipophrys pholis ) est une espèce de poissons marins de la famille des Blenniidae. Il est très commun sur le littoral atlantique, du Royaume-Uni à l'Espagne où il fréquente les fonds rocheux.",,2395462
Dragonnet réticulé,Reticulated Dragonet,Callionymus  reticulatus,,Callionymidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Callionymus_reticulatus_%28dorsal_fin%29.jpg/120px-Callionymus_reticulatus_%28dorsal_fin%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Callionymus_reticulatus_%28dorsal_fin%29.jpg/120px-Callionymus_reticulatus_%28dorsal_fin%29.jpg,Dragonnet réticulé,,2386886
