name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Anguille,,Anguilla anguilla,,Anguillidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Anguilla_anguilla.jpg/120px-Anguilla_anguilla.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Anguilla_anguilla.jpg/120px-Anguilla_anguilla.jpg,Anguilla anguilla,,
Congre,,Conger conger,,Congridae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Conger_eel01.jpg/120px-Conger_eel01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Conger_eel01.jpg/120px-Conger_eel01.jpg,Conger conger,,
Athérine,,Atherina presbyter,,Atherinidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Atherina_presbyter.jpg/120px-Atherina_presbyter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Atherina_presbyter.jpg/120px-Atherina_presbyter.jpg,"Atherina presbyter est une espèce de poissons marins du genre Atherina, appelée prêtre, trogue (Arcachon), troyne, faux éperlan, petit curé, belek bihan, prêtro, petit prêtre, prêteau, rosette, roseré, grasdeau, grado, ou kanchua. À tort, Atherina presbyter est également appelé éperlan, mais aussi athérine ou joël, entrainant la confusion avec Atherina boyeri.",,
Orphie,,Belone belone,,Belonidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Aiguillette, Aiguille de mer, Poisson cornu, Orphie",,
Sardine,,Sardina pilchardus,,Clupeidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Pacific_sardine002.jpg/120px-Pacific_sardine002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Pacific_sardine002.jpg/120px-Pacific_sardine002.jpg,Sardina pilchardus,,
Alose,,Alosa fallax,,Clupeidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Alosa_fallax.jpg/120px-Alosa_fallax.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Alosa_fallax.jpg/120px-Alosa_fallax.jpg,"L'alose feinte (Alosa fallax) est un poisson de la famille des Clupeidae. On le trouve dans les îles Britanniques, l'Allemagne, la France (Atlantique et Méditerranée), le Portugal, l'Algérie et le Maroc.",,
Anchois commun,,Engraulis encrasicolus,,Engraulidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Engraulis_encrasicolus.jpg/120px-Engraulis_encrasicolus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Engraulis_encrasicolus.jpg/120px-Engraulis_encrasicolus.jpg,"L'anchois commun (Engraulis encrasicolus) est une espèce de poissons marins appartenant à la famille des Engraulidae. Cet anchois est appelé aussi anchois européen, anchois de l'Afrique australe, anchois italien, etc. et souvent « anchois » tout court par simplification.",,
Capelan de France,,Trisopterus minutus,,Gadidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Trisopterus minutus est une espèce de poissons marins de la famille des Gadidés, appelé capelin, capelan de l'Atlantique, capelan de Méditerranée, capelan de France ou petit tacaud.",,
Grenouille de mer,,Raniceps raninus,,Gadidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Grenouille de mer, Trident",,
Tacaud,,Trisopterus luscus,,Gadidae,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Trisopterus_luscus01.jpg/120px-Trisopterus_luscus01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Trisopterus_luscus01.jpg/120px-Trisopterus_luscus01.jpg,"Tacaud, Tacaud commun",,
