name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Lamproie de rivière,European river lamprey,Lampetra fluviatilis,,Pétromyzontidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Lampetra fluviatilis,,2421365
Lamproie de Planer,Brook Lamprey,Lampetra planeri,,Pétromyzontidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Lampetra  planeri,,2421402
Lamproie marine,Eel Sucker,Petromyzon marinus,,Pétromyzontidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Petromyzon marinus,,8236498
Esturgeon sibérien,Siberian sturgeon,Acipenser baerii,,Acipenséridés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Esturgeon de Sibérie,,4287131
Esturgeon diamant,Danube sturgeon,Acipenser gueldenstaedtii,,Acipenséridés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,"Osciètre, Esturgeon du Danube, Esturgeon diamant",,2402129
Esturgeon noir d'Amérique,Atlantic sturgeon,Acipenser oxyrinchus,,Acipenséridés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,"Acipenser oxyrinchus (en grec « riverain au nez pointu »), communément appelé Esturgeon noir d'Amérique (également Esturgeon atlantique, Esturgeon de mer, Esturgeon escargot ou Esturgeon guindé) est un esturgeon de la côte est nord-Américaine. Sa distribution va du golfe du Saint-Laurent (où la plus grande population existe) jusqu'à la Floride. Une population disjointe (presque disparue) existe aussi dans la mer Baltique en Europe. D'une taille record de plus de 4 mètres, c'est le plus grand poisson à fréquenter les eaux douces du Québec.",,4287132
Esturgeon du Danube,Sterlet,Acipenser ruthenus,,Acipenséridés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,"Sterlet, Esturgeon du Danube",,2402168
Esturgeon d'Europe,Atlantic Sturgeon,Acipenser sturio,,Acipenséridés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Acipenser sturio,,2402203
Anguille d'Europe,,Anguilla anguilla,,Anguillidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Anguilla anguilla,,5212973
Alose feinte méditerranéenne,Mediterranean Shad,Alosa agone,,Clupéidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Alosa agone est un poisson d'eau de mer méditerranéen qui remonte le cours inférieur des cours d'eau au moment de la reproduction.,,2412712
Grande alose,Alice shad,Alosa alosa,,Clupéidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Alosa alosa · Alose vraie,,2412685
Alose feinte,,Alosa fallax,,Clupéidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,"L'alose feinte (Alosa fallax) est un poisson de la famille des Clupeidae. On le trouve dans les îles Britanniques, l'Allemagne, la France (Atlantique et Méditerranée), le Portugal, l'Algérie et le Maroc.",,2412623
Loche transalpine,Italian Spined Loach,Cobitis bilineata,,Cobitidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,"Cobitis bilineata, la loche italienne, est une espèce de poissons à nageoires rayonnées de la famille des Cobitidae, rencontrée en Croatie, Italie, Slovénie et Suisse.",,2368222
Loche de rivière,Common Spined Loach,Cobitis taenia,,Cobitidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Cobitis taenia,,2368185
Loche baromètre,Amur mud loach,Misgurnus anguillicaudatus,,Cobitidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Misgurnus anguillicaudatus,,2367919
Loche d'étang,European Weather Loach,Misgurnus fossilis,,Cobitidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Misgurnus fossilis,,2367936
Loche franche,Bearded stone loach,Barbatula barbatula,,Nemacheilidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,La Loche franche (Barbatula barbatula) est une espèce de poissons benthiques d'eau douce autochtone de l'Europe occidentale et centrale et du nord de l'Espagne jusqu'au sud de la Suède.,,5204862
Loche du Roussillon,Leopard Stone Loach,Barbatula leoparda,,Nemacheilidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Loche léopard,,10721940
Loche du Languedoc,Lez Stone Loach,Barbatula quignardi,,Nemacheilidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Loche du Languedoc,,2357565
Bouvière,,Rhodeus amarus,,Cyprinidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,"La Bouvière (Rhodeus sericeus amarus) est un poisson d'eau douce  tempérée appartenant à la sous-famille Acheilognathinae de la famille des Cyprinidae. Il est originaire d'Europe, allant du bassin du Rhône en France à la Neva en Russie.",,2360842
Barbeau fluviatile,Barbel,Barbus barbus,,Cyprinidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Barbus barbus,,5739539
Barbeau méridional,,Barbus meridionalis,,Cyprinidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,Barbus meridionalis,,5739559
Poisson rouge,Carp,Carassius auratus,,Cyprinidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,"Carassius auratus, Carassius auratus auratus · Carassin doré, Cyprin doré",,4286942
Carassin commun,,Carassius carassius,,Cyprinidés,,,"{""fresh""}",,,,,,"{""FR""}",,,,,,,,,"Le Carassin commun (Carassius carassius) dit encore carassin, carpe à la lune, cyprin, carache, carouche, gibèle, meule, carreau, ou gardon carpé, est un poisson de la famille des cyprinidés, celle des carpes et des vairons. Ce carassin vit dans les lacs, les étangs et les rivières à faible courant d'Europe et d'Asie. Cette espèce est très proche du poisson rouge avec laquelle elle s'hybride facilement lorsque ces derniers sont relâchés dans la nature.",,2366645
