name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Poisson lézard,Atlantic lizardfish,Synodus saurus,,Synodontidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Synodus_saurus_Karpathos.JPG/120px-Synodus_saurus_Karpathos.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Synodus_saurus_Karpathos.JPG/120px-Synodus_saurus_Karpathos.JPG,Le poisson-lézard rayé ou poisson-lézard de l'Atlantique (Synodus saurus) est une espèce de poissons téléostéens de la famille des Synodontidae.,,5212655
Congre,Conger,Conger conger,,Congridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Conger_eel01.jpg/120px-Conger_eel01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Conger_eel01.jpg/120px-Conger_eel01.jpg,Conger conger,,2403490
Murène commune,Black Moray,Muraena helena,,Muraenidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/EL32p.jpg/120px-EL32p.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/EL32p.jpg/120px-EL32p.jpg,Muraena helena,,2404329
Murène brune,Brown moray,Gymnothorax unicolor,,Muraenidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Gymnothorax_unicolor.jpg/120px-Gymnothorax_unicolor.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Gymnothorax_unicolor.jpg/120px-Gymnothorax_unicolor.jpg,Murène brune,,2404113
Anguille des profondeurs,Eel,Ophisurus serpens,,Ophichthidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Anguille des profondeurs, Serpent de sable",,5961049
Sauclet,,Atherina hepsetus,,Atherinidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Atherina hepsetus, communément nommé en français Sauclet ou Athérine, est une espèce de poissons de la famille des Atherinidae. Son nom binominal vient du grec αθερί να εψητός atherí na ’epsêtós soit « frais à friture ».",,2411943
Prêtre,Atherine,Atherina presbyter,,Atherinidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Atherina presbyter est une espèce de poissons marins du genre Atherina, appelée prêtre, trogue (Arcachon), troyne, faux éperlan, petit curé, belek bihan, prêtro, petit prêtre, prêteau, rosette, roseré, grasdeau, grado, ou kanchua. À tort, Atherina presbyter est également appelé éperlan, mais aussi athérine ou joël, entrainant la confusion avec Atherina boyeri.",,2411945
Orphie,"Garfish, Garpike",Belone belone,,Belonidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Aiguillette, Aiguille de mer, Poisson cornu, Orphie",,2369178
Petite roussette,Dogfish,Scyliorhinus canicula,,Scyliorhinidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Roedhaj.jpg/120px-Roedhaj.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Roedhaj.jpg/120px-Roedhaj.jpg,Petite roussette,,2418684
Grande roussette,Bull Huss,Scyliorhinus stellaris,,Scyliorhinidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Katzenhai-01.jpg/120px-Katzenhai-01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Katzenhai-01.jpg/120px-Katzenhai-01.jpg,Grande roussette,,2418670
Emissole tachetée,,Mustelus asterias,,Triakidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,L'Émissole tachetée (Mustelus asterias) est une espèce de requins de la famille des Triakidae.,,2418315
Emissole lisse,Common Smoothhound,Mustelus mustelus,,Triakidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Mustelus_mustelus.jpg/120px-Mustelus_mustelus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Mustelus_mustelus.jpg/120px-Mustelus_mustelus.jpg,"Mustelus mustelus, l'Émissole lisse,, est une espèce de requins de la famille des Triakidae.",,2418313
Grand requin-marteau,Great Hammerhead Shark,Sphyrna mokarran,,Sphyrnidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Hammerhead_shark.jpg/120px-Hammerhead_shark.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Hammerhead_shark.jpg/120px-Hammerhead_shark.jpg,Sphyrna mokarran,,2418792
Requin-marteau halicorne,Bronze hammerhead shark,Sphyrna lewini,,Sphyrnidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Sphyrna_lewini.jpg/120px-Sphyrna_lewini.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Sphyrna_lewini.jpg/120px-Sphyrna_lewini.jpg,Sphyrna lewini,,2418789
