name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Lamproie de rivière,,Lampetra fluviatilis,,Pétromyzontidés,,,,,,,,,,,,,,,,,,Lampetra fluviatilis,,
Lamproie de Planer,,Lampetra planeri,,Pétromyzontidés,,,,,,,,,,,,,,,,,,Lampetra  planeri,,
Lamproie marine,,Petromyzon marinus,,Pétromyzontidés,,,,,,,,,,,,,,,,,,Petromyzon marinus,,
Esturgeon sibérien,,Acipenser baerii,,Acipenséridés,,,,,,,,,,,,,,,,,,Esturgeon de Sibérie,,
Esturgeon diamant,,Acipenser gueldenstaedtii,,Acipenséridés,,,,,,,,,,,,,,,,,,"Osciètre, Esturgeon du Danube, Esturgeon diamant",,
Esturgeon noir d'Amérique,,Acipenser oxyrinchus,,Acipenséridés,,,,,,,,,,,,,,,,,,"Acipenser oxyrinchus (en grec « riverain au nez pointu »), communément appelé Esturgeon noir d'Amérique (également Esturgeon atlantique, Esturgeon de mer, Esturgeon escargot ou Esturgeon guindé) est un esturgeon de la côte est nord-Américaine. Sa distribution va du golfe du Saint-Laurent (où la plus grande population existe) jusqu'à la Floride. Une population disjointe (presque disparue) existe aussi dans la mer Baltique en Europe. D'une taille record de plus de 4 mètres, c'est le plus grand poisson à fréquenter les eaux douces du Québec.",,
Esturgeon du Danube,,Acipenser ruthenus,,Acipenséridés,,,,,,,,,,,,,,,,,,"Sterlet, Esturgeon du Danube",,
Esturgeon d'Europe,,Acipenser sturio,,Acipenséridés,,,,,,,,,,,,,,,,,,Acipenser sturio,,
Anguille d'Europe,,Anguilla anguilla,,Anguillidés,,,,,,,,,,,,,,,,,,Anguilla anguilla,,
Alose feinte méditerranéenne,,Alosa agone,,Clupéidés,,,,,,,,,,,,,,,,,,Alosa agone est un poisson d'eau de mer méditerranéen qui remonte le cours inférieur des cours d'eau au moment de la reproduction.,,
Grande alose,,Alosa alosa,,Clupéidés,,,,,,,,,,,,,,,,,,Alosa alosa · Alose vraie,,
Alose feinte,,Alosa fallax,,Clupéidés,,,,,,,,,,,,,,,,,,"L'alose feinte (Alosa fallax) est un poisson de la famille des Clupeidae. On le trouve dans les îles Britanniques, l'Allemagne, la France (Atlantique et Méditerranée), le Portugal, l'Algérie et le Maroc.",,
Loche transalpine,,Cobitis bilineata,,Cobitidés,,,,,,,,,,,,,,,,,,"Cobitis bilineata, la loche italienne, est une espèce de poissons à nageoires rayonnées de la famille des Cobitidae, rencontrée en Croatie, Italie, Slovénie et Suisse.",,
Loche de rivière,,Cobitis taenia,,Cobitidés,,,,,,,,,,,,,,,,,,Cobitis taenia,,
Loche baromètre,,Misgurnus anguillicaudatus,,Cobitidés,,,,,,,,,,,,,,,,,,Misgurnus anguillicaudatus,,
Loche d'étang,,Misgurnus fossilis,,Cobitidés,,,,,,,,,,,,,,,,,,Misgurnus fossilis,,
Loche franche,,Barbatula barbatula,,Nemacheilidés,,,,,,,,,,,,,,,,,,La Loche franche (Barbatula barbatula) est une espèce de poissons benthiques d'eau douce autochtone de l'Europe occidentale et centrale et du nord de l'Espagne jusqu'au sud de la Suède.,,
Loche du Roussillon,,Barbatula leoparda,,Nemacheilidés,,,,,,,,,,,,,,,,,,Loche léopard,,
Loche du Languedoc,,Barbatula quignardi,,Nemacheilidés,,,,,,,,,,,,,,,,,,Loche du Languedoc,,
Bouvière,,Rhodeus amarus,,Cyprinidés,,,,,,,,,,,,,,,,,,"La Bouvière (Rhodeus sericeus amarus) est un poisson d'eau douce  tempérée appartenant à la sous-famille Acheilognathinae de la famille des Cyprinidae. Il est originaire d'Europe, allant du bassin du Rhône en France à la Neva en Russie.",,
Barbeau fluviatile,,Barbus barbus,,Cyprinidés,,,,,,,,,,,,,,,,,,Barbus barbus,,
Barbeau méridional,,Barbus meridionalis,,Cyprinidés,,,,,,,,,,,,,,,,,,Barbus meridionalis,,
Poisson rouge,,Carassius auratus,,Cyprinidés,,,,,,,,,,,,,,,,,,"Carassius auratus, Carassius auratus auratus · Carassin doré, Cyprin doré",,
Carassin commun,,Carassius carassius,,Cyprinidés,,,,,,,,,,,,,,,,,,"Le Carassin commun (Carassius carassius) dit encore carassin, carpe à la lune, cyprin, carache, carouche, gibèle, meule, carreau, ou gardon carpé, est un poisson de la famille des cyprinidés, celle des carpes et des vairons. Ce carassin vit dans les lacs, les étangs et les rivières à faible courant d'Europe et d'Asie. Cette espèce est très proche du poisson rouge avec laquelle elle s'hybride facilement lorsque ces derniers sont relâchés dans la nature.",,
Carassin argenté,,Carassius gibelio,,Cyprinidés,,,,,,,,,,,,,,,,,,"Carassius gibelio, communément appelé Carassin argenté, Carpe prussienne ou Carpe de Prusse, est une espèce de poissons de la famille des cyprinidés. Elle est proche de deux autres espèces du genre Carassius avec lesquelles elle est souvent confondue, Carassius carassius et Carassius auratus.",,
Carpe commune,,Cyprinus carpio,,Cyprinidés,,,,,,,,,,,,,,,,,,Cyprinus carpio,,
Carpe de l'Amour,,Cyprinus rubrofuscus,,Cyprinidés,,,,,,,,,,,,,,,,,,"Cyprinus rubrofuscus est une espèce de poissons de la famille des cyprinidés. Elle est répandue en Asie de l'Est où elle se rencontre au Laos, au Viêt Nam et de la Chine, des bassins de l'Amour jusqu'au fleuve Rouge. Elle a également été introduite en dehors de son aire de répartition d'origine. C'est la forme sauvage de la carpe koï. Elle est connue pour sa saveur boueuse et son goût sucré, par conséquent, elle n'est généralement pas consommée par les habitants, sauf lorsqu'elle est cuite.",,
Goujon d'Auvergne,,Gobio alverniae,,Cyprinidés,,,,,,,,,,,,,,,,,,Gobio alverniae,,
Goujon,,Gobio gobio,,Cyprinidés,,,,,,,,,,,,,,,,,,Gobio gobio,,
Goujon de l'Adour,,Gobio lozanoi,,Cyprinidés,,,,,,,,,,,,,,,,,,"Goujon de l'Adour, Goujon ibérique",,
Goujon du Languedoc,,Gobio occitaniae,,Cyprinidés,,,,,,,,,,,,,,,,,,"Goujon occitan, Goujon du Languedoc",,
Goujon d'Ukraine,,Romanogobio belingi,,Cyprinidés,,,,,,,,,,,,,,,,,,Romanogobio belingi,,
Goujon asiatique,,Pseudorasbora parva,,Cyprinidés,,,,,,,,,,,,,,,,,,"Pseudorasbora parva (parfois appelé improprement « goujon asiatique ») est un poisson du genre Pseudorasbora et de la famille des Cyprinidés. Là où il a été introduit hors de son aire naturelle de répartition, il peut devenir envahissant et être vecteur de maladie émergente.",,
Ablette,,Alburnus alburnus,,Cyprinidés,,,,,,,,,,,,,,,,,,Alburnus alburnus,,
Hotu,,Chondrostoma nasus,,Cyprinidés,,,,,,,,,,,,,,,,,,Chondrostoma nasus,,
Vandoise du Béarn,,Leuciscus bearnensis,,Cyprinidés,,,,,,,,,,,,,,,,,,"Vandoise du Béarn, Vandoise de l'Adour",,
Vandoise rostrée,,Leuciscus burdigalensis,,Cyprinidés,,,,,,,,,,,,,,,,,,Leuciscus burdigalensis,,
Ide mélanote,,Leuciscus idus,,Cyprinidés,,,,,,,,,,,,,,,,,,Leuciscus idus,,
Vandoise,,Leuciscus leuciscus,,Cyprinidés,,,,,,,,,,,,,,,,,,Leuciscus leuciscus,,
Vandoise au long-museau,,Leuciscus oxyrrhis,,Cyprinidés,,,,,,,,,,,,,,,,,,La Vandoise au long-museau (Leuciscus oxyrrhis) est une espèce de poissons de la famille des Cyprinidae. On la trouve dans la Garonne en France.,,
Toxostome,,Parachondrostoma toxostoma,,Cyprinidés,,,,,,,,,,,,,,,,,,Chondrostoma toxostoma,,
Vairon de l'Adour,,Phoxinus bigerri,,Cyprinidés,,,,,,,,,,,,,,,,,,"Vairon basque, Vairon de l'Adour",,
Vairon du Danube,,Phoxinus csikii,,Cyprinidés,,,,,,,,,,,,,,,,,,Phoxinus csikii,,
Vairon de la Garonne,,Phoxinus dragarum,,Cyprinidés,,,,,,,,,,,,,,,,,,Phoxinus dragarum,,
