name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Lamproie de rivière,,Lampetra fluviatilis,,Pétromyzontidés,,,,,,,,,,,,,,,,,,,,
Lamproie de Planer,,Lampetra planeri,,Pétromyzontidés,,,,,,,,,,,,,,,,,,,,
Lamproie marine,,Petromyzon marinus,,Pétromyzontidés,,,,,,,,,,,,,,,,,,,,
Esturgeon sibérien,,Acipenser baerii,,Acipenséridés,,,,,,,,,,,,,,,,,,,,
Esturgeon diamant,,Acipenser gueldenstaedtii,,Acipenséridés,,,,,,,,,,,,,,,,,,,,
Esturgeon noir d'Amérique,,Acipenser oxyrinchus,,Acipenséridés,,,,,,,,,,,,,,,,,,,,
Esturgeon du Danube,,Acipenser ruthenus,,Acipenséridés,,,,,,,,,,,,,,,,,,,,
Esturgeon d'Europe,,Acipenser sturio,,Acipenséridés,,,,,,,,,,,,,,,,,,,,
Anguille d'Europe,,Anguilla anguilla,,Anguillidés,,,,,,,,,,,,,,,,,,,,
Alose feinte méditerranéenne,,Alosa agone,,Clupéidés,,,,,,,,,,,,,,,,,,,,
Grande alose,,Alosa alosa,,Clupéidés,,,,,,,,,,,,,,,,,,,,
Alose feinte,,Alosa fallax,,Clupéidés,,,,,,,,,,,,,,,,,,,,
Loche transalpine,,Cobitis bilineata,,Cobitidés,,,,,,,,,,,,,,,,,,,,
Loche de rivière,,Cobitis taenia,,Cobitidés,,,,,,,,,,,,,,,,,,,,
Loche baromètre,,Misgurnus anguillicaudatus,,Cobitidés,,,,,,,,,,,,,,,,,,,,
Loche d'étang,,Misgurnus fossilis,,Cobitidés,,,,,,,,,,,,,,,,,,,,
Loche franche,,Barbatula barbatula,,Nemacheilidés,,,,,,,,,,,,,,,,,,,,
Loche du Roussillon,,Barbatula leoparda,,Nemacheilidés,,,,,,,,,,,,,,,,,,,,
Loche du Languedoc,,Barbatula quignardi,,Nemacheilidés,,,,,,,,,,,,,,,,,,,,
Bouvière,,Rhodeus amarus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Barbeau fluviatile,,Barbus barbus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Barbeau méridional,,Barbus meridionalis,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Poisson rouge,,Carassius auratus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Carassin commun,,Carassius carassius,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Carassin argenté,,Carassius gibelio,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Carpe commune,,Cyprinus carpio,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Carpe de l'Amour,,Cyprinus rubrofuscus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Goujon d'Auvergne,,Gobio alverniae,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Goujon,,Gobio gobio,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Goujon de l'Adour,,Gobio lozanoi,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Goujon du Languedoc,,Gobio occitaniae,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Goujon d'Ukraine,,Romanogobio belingi,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Goujon asiatique,,Pseudorasbora parva,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Ablette,,Alburnus alburnus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Hotu,,Chondrostoma nasus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vandoise du Béarn,,Leuciscus bearnensis,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vandoise rostrée,,Leuciscus burdigalensis,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Ide mélanote,,Leuciscus idus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vandoise,,Leuciscus leuciscus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vandoise au long-museau,,Leuciscus oxyrrhis,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Toxostome,,Parachondrostoma toxostoma,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vairon de l'Adour,,Phoxinus bigerri,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vairon du Danube,,Phoxinus csikii,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vairon de la Garonne,,Phoxinus dragarum,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vairon de la Loire,,Phoxinus fayollarum,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vairon,,Phoxinus phoxinus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vairon du Languedoc,,Phoxinus septimaniae,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Tête de boule,,Pimephales promelas,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Chevaine commun,,Squalius cephalus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Chevaine catalan,,Squalius laietanus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Chevaine italien,,Squalius squalus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Blageon,,Telestes souffia,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Amour blanc,,Ctenopharyngodon idella,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Tanche,,Tinca tinca,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Carpe argentée,,Hypophthalmichthys molitrix,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Carpe à grosse tête,,Hypophthalmichthys nobilis,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Brème commune,,Abramis brama,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Spirlin,,Alburnoides bipunctatus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Aspe,,Aspius aspius,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Brème du Danube,,Ballerus sapa,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Brème bordelière,,Blicca bjoerkna,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Able de Heckel,,Leucaspius delineatus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Épirine lippue,,Pachychilon pictum,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Gardon,,Rutilus rutilus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Gardon du Danube,,Rutilus virgo,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Rotengle de Bosnie,,Scardinius dergle,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Rotengle,,Scardinius erythrophthalmus,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Vimbe,,Vimba vimba,,Cyprinidés,,,,,,,,,,,,,,,,,,,,
Pacu noir,,Colossoma macropomum,,Serrasalmidés,,,,,,,,,,,,,,,,,,,,
Pacu à ventre rouge,,Piaractus brachypomus,,Serrasalmidés,,,,,,,,,,,,,,,,,,,,
Poisson-chat commun,,Ameiurus melas,,Ictaluridés,,,,,,,,,,,,,,,,,,,,
Silure glane,,Silurus glanis,,Siluridés,,,,,,,,,,,,,,,,,,,,
Pléco méridional,,Pterygoplichthys anisitsi,,Loricariidés,,,,,,,,,,,,,,,,,,,,
Pléco léopard,,Pterygoplichthys gibbiceps,,Loricariidés,,,,,,,,,,,,,,,,,,,,
Corégone blanc,,Coregonus albula,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Bézoule,,Coregonus bezola,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone de lac,,Coregonus clupeaformis,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone clupéoïde,,Coregonus clupeoides,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Féra du Léman,,Coregonus fera,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone gravenche,,Coregonus hiemalis,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone lavaret,,Coregonus lavaretus,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone maraène,,Coregonus maraena,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Bondelle,,Coregonus oxyrinchus,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Palée,,Coregonus palaea,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone du lac de Constance,,Coregonus wartmanni,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Corégone du lac de Zoug,,Coregonus zugensis,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Huchon,,Hucho hucho,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Saumon rose à bosse,,Oncorhynchus gorbuscha,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Saumon argenté,,Oncorhynchus kisutch,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Truite arc-en-ciel,,Oncorhynchus mykiss,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Saumon royal,,Oncorhynchus tshawytscha,,Salmonidés,,,,,,,,,,,,,,,,,,,,
Truite à grosses taches,,Salmo cettii,,Salmonidés,,,,,,,,,,,,,,,,,,,,
